Account Type,Fund,Department,Business Unit,Account Classification,Account Code And Description,2019 Adopted Budget,2020 Adopted Budget,2021 Projected Budget,Fund Number,Department Number,Business Unit Number
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,"Licenses, Permits and Fees",52185 NICOR FRANCHISE FEE,"75,000","75,000","75,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Charges for Services,53680 TOWING CHARGES,"1,000",0,0,100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Charges for Services,53710 PASSPORT PROCESSING FEE,"35,000","30,000","30,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57007 FROM WEST EVANSTON TIF,"30,000","35,000","35,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57020 FROM MOTOR FUEL FUND-S/M,"982,987","1,044,987","1,044,987",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57030 TRANSFER FROM CDBG,"60,000",0,0,100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57040 FROM EMERGENCY TEL SYSTEM,"60,000","260,000","260,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57058 TRANSFER FROM GOOD NEIGHBOR FUND,"480,000","380,000",0,100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57087 FROM DEMPSTER-DODGE TIF,"5,000","5,000","5,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57088 FROM CHICAGO-MAIN TIF,"5,000","30,000","30,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57096 FROM HOWARD RIDGE TIF,"60,000","30,000","30,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57110 FROM SPECIAL ASSMT. FUND,"92,000","92,000","92,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57130 FROM PARKING FUND,"2,972,390","2,972,390","2,972,390",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57135 FROM WATER FUND,"492,235","492,235","492,235",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57140 FROM WATER FUND-ROI,"2,581,102","2,581,102","2,581,102",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57145 FROM WATER FUND-ADMIN. EX,"726,222","726,222","726,222",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interfund Transfers,57165 TRANSFER FROM SEWER FUND,"330,167","330,167","330,167",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Intergovernmental Revenue,57009 TRANSFERS FROM LIBRARY FUND,"270,000","274,050","274,050",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Revenue,56010 PROPERTY SALES AND RENTAL,"51,100","51,100","51,100",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Revenue,56045 MISCELLANEOUS REVENUE,"215,000","125,000","25,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Revenue,56105 PAYMENT IN LIEU OF TAXES,"200,000","200,000","200,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Other Revenue,56175 PARKING PERMITS-RYAN FIELD,"15,000","15,000","15,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,REVENUE & COLLECTIONS,Interest Income,56501 INVESTMENT INCOME,"55,000","55,000","55,000",100,15,1560
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,ACCOUNTING,Other Revenue,56158 CHARGEBACK REVENUE,0,"300,000","300,000",100,15,1570
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,PURCHASING,Other Revenue,56045 MISCELLANEOUS REVENUE,"3,000","3,000","3,000",100,15,1575
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,ADMINISTRATIVE HEARINGS,Fines and Forfeitures,52570 NON PARKING ORDINANCE VIOLATIONS,"210,000","175,000","175,000",100,15,1585
Revenues,GENERAL FUND,CITY MANAGER'S OFFICE,ADMINISTRATIVE HEARINGS,Other Revenue,56045 MISCELLANEOUS REVENUE,"12,000",0,0,100,15,1585
Revenues,GENERAL FUND,LAW,LEGAL ADMINISTRATION,"Licenses, Permits and Fees",52040 LIQUOR LICENSES,"525,000","525,000","525,000",100,17,1705
Revenues,GENERAL FUND,LAW,LEGAL ADMINISTRATION,"Licenses, Permits and Fees",52041 ONE DAY LIQUOR LICENSE,"12,000","12,000","12,000",100,17,1705
Revenues,GENERAL FUND,ADMINISTRATIVE SERVICES,PARKING ENFORCEMENT & TICKETS,Fines and Forfeitures,52505 TICKET FINES-PARKING,"3,740,000","3,800,000","3,800,000",100,19,1941
Revenues,GENERAL FUND,ADMINISTRATIVE SERVICES,PARKING ENFORCEMENT & TICKETS,Fines and Forfeitures,52530 BOOT RELEASE FEE,"45,000","90,000","90,000",100,19,1941
Revenues,GENERAL FUND,ADMINISTRATIVE SERVICES,SCHOOL CROSSING GUARDS,Charges for Services,53516 PARKING ENFORCEMT REIMB,"33,500","33,500","33,500",100,19,1942
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PLANNING & ZONING,Charges for Services,53666 HISTORIC PRESERVATION REVIEWS,"30,000","30,000","30,000",100,21,2105
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PLANNING & ZONING,Charges for Services,53695 ZONING FEES,"210,000","130,000","130,000",100,21,2105
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PLANNING & ZONING,Intergovernmental Revenue,55290 OTHER FEDERAL AID,"10,000",0,0,100,21,2105
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PROPERTY STANDARDS,"Licenses, Permits and Fees",52018 VACATION RENTAL LICENSES,0,"80,000","80,000",100,21,2115
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PROPERTY STANDARDS,"Licenses, Permits and Fees",52035 ROOMING HOUSE LICENSES,0,"195,000","195,000",100,21,2115
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PROPERTY STANDARDS,"Licenses, Permits and Fees",52046 RENTAL BUILDING REGISTRATIONS,0,"85,000","85,000",100,21,2115
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PROPERTY STANDARDS,"Licenses, Permits and Fees",52127 PROPERTY CLEAN UP REVENUE,0,"10,000","10,000",100,21,2115
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PROPERTY STANDARDS,Fines and Forfeitures,52555 HOUSING CODE VIOL FINES,0,"40,000","40,000",100,21,2115
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,PROPERTY STANDARDS,Intergovernmental Revenue,55256 IL VACANT PROPERTY GRANT,0,"37,500","37,500",100,21,2115
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52015 BUSINESS LICENSES,"65,000","97,800","97,800",100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52030 CONTRACTORS' LICENSES,"170,000","170,000","170,000",100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52080 BUILDING PERMITS,"3,875,100","4,225,100","4,225,100",100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52105 SIGNS AND AWNING PERMITS,"32,800",0,0,100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52110 OTHER/MISC PERMITS,"350,000",0,0,100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52115 ELEVATOR PERMITS,"42,000","42,000","42,000",100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,"Licenses, Permits and Fees",52155 PLAT PR.&SIGN APP HRG FEE,"2,100","2,100","2,100",100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,BUILDING INSPECTION SERVICES,Fines and Forfeitures,52560 PERMIT PENALTY FEES,"8,000","8,000","8,000",100,21,2126
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,EMERGENCY SOLUTIONS GRANT,Intergovernmental Revenue,55275 HUD EMERG SHELTER GRANTS,"135,000","135,000","135,000",100,21,2128
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Other Taxes,51550 MUNICIPAL HOTEL TAX,"2,390,000","2,390,000","2,390,000",100,21,5300
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Other Taxes,51630 AMUSEMENT TAX,"315,000","430,000","430,000",100,21,5300
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Other Revenue,56045 MISCELLANEOUS REVENUE,"40,500","40,500","40,500",100,21,5300
Revenues,GENERAL FUND,COMMUNITY DEVELOPMENT,ECON. DEVELOPMENT,Interest Income,56501 INVESTMENT INCOME,100,100,100,100,21,5300
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Property Taxes,51017 PENSION PROPERTY TAX,"10,137,704","10,900,650","11,461,933",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Other Taxes,51606 PENSION PPRT,"325,000","325,000","325,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,"Licenses, Permits and Fees",52170 ALARM PANEL FRANCHISE FEE,"4,000","4,000","4,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Fines and Forfeitures,52541 POLICE CTA DETAIL & BARNES DET,"400,000","300,000","300,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Charges for Services,53625 POLICE OVERTIME REIMBURSEMENT,0,"500,000","500,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Intergovernmental Revenue,55270 POLICE TRAINING,"5,000","5,000","5,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Other Revenue,52546 POLICE EQUIPMENT REIMBURSEMENT,"10,000","10,000","10,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Other Revenue,56045 MISCELLANEOUS REVENUE,"15,000","15,000","15,000",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE ADMINISTRATION,Other Revenue,56065 SALE OF SURPLUS PROPERTY,"1,500","1,500","1,500",100,22,2205
Revenues,GENERAL FUND,POLICE,POLICE RECORDS,Charges for Services,53685 POLICE REPORT FEES,"25,000","25,000","25,000",100,22,2240
Revenues,GENERAL FUND,POLICE,OFFICE OF ADMINISTRATION,Intergovernmental Revenue,"55146 STATE, COUNTY AND OTHER GRANTS","84,000","50,000","50,000",100,22,2260
Revenues,GENERAL FUND,POLICE,NEIGHBORHOOD ENFORCEMENT TEAM,Fines and Forfeitures,52548 NARCOTICS SEIZURE REVENUE,0,"20,000","20,000",100,22,2265
Revenues,GENERAL FUND,POLICE,TRAFFIC BUREAU,Fines and Forfeitures,52510 REGULAR FINES,"115,000","115,000","115,000",100,22,2270
Revenues,GENERAL FUND,POLICE,TRAFFIC BUREAU,Intergovernmental Revenue,52542 POLICE DUI REIMBURSEMENT,"15,000","15,000","15,000",100,22,2270
Revenues,GENERAL FUND,POLICE,ANIMAL CONTROL,Fines and Forfeitures,52525 ANIMAL ORDINANCE PENALTIES,"7,500","7,500","7,500",100,22,2280
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Property Taxes,51017 PENSION PROPERTY TAX,"8,064,947","8,967,037","9,429,389",100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Other Taxes,51606 PENSION PPRT,"280,000","280,000","280,000",100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Fines and Forfeitures,52540 POLICE & FIRE FALSE ALARM FEES,"115,000","115,000","115,000",100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Charges for Services,53655 FIRE COST RECOVERY CHARGE,"1,000","1,000","1,000",100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Charges for Services,53700 FIRE REPORT FEES,100,100,100,100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Intergovernmental Revenue,55170 FIRE DEPT TRAINING,"6,000","6,000","6,000",100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE MGT & SUPPORT,Other Revenue,56045 MISCELLANEOUS REVENUE,"20,000","20,000","20,000",100,23,2305
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE PREVENTION,"Licenses, Permits and Fees",52135 FIRE PLAN REVIEW,"100,000","100,000","100,000",100,23,2310
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE PREVENTION,Charges for Services,53705 FIRE BUILDING INSPECTIONS,"25,000","25,000","25,000",100,23,2310
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE PREVENTION,Charges for Services,53715 ALARM REGISTRATION FEE,"115,000","115,000","115,000",100,23,2310
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE SUPPRESSION,Charges for Services,53675 AMBULANCE SERVICE,"2,150,000","2,200,000","2,200,000",100,23,2315
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE SUPPRESSION,Other Revenue,56069 REIMBURSEMENT FOR FIRE DEPARTMENT SERVICES,"30,000","105,000","105,000",100,23,2315
Revenues,GENERAL FUND,FIRE MGMT & SUPPORT,FIRE SUPPRESSION,Other Revenue,56157 CITIZENS CPR CLASS FEES,"6,500","6,500","6,500",100,23,2315
Revenues,GENERAL FUND,HEALTH,HEALTH SERVICES ADMIN,Other Revenue,56045 MISCELLANEOUS REVENUE,"5,000","5,000","5,000",100,24,2407
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52016 BED & BREAKFAST LICENSE,150,150,150,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52017 COLLECTION BOX LICENSE,"2,500","2,500","2,500",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52035 ROOMING HOUSE LICENSES,"195,000",0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52046 RENTAL BUILDING REGISTRATIONS,"85,000",0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52050 OTHER LICENSES,"20,000","20,000","20,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52055 LONG TERM CARE LICENSES,"120,000","120,000","120,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52061 SEASONAL FOOD ESTABLISHMENT LICENSE,"15,000","15,000","15,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52062 MOBILE FOOD VEHICLE VENDOR LICENSE,"1,000","1,450","1,450",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52063 HEN COOP LICENSE,800,800,800,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52070 RESIDENT CARE HOME LICENSE,"1,200","1,200","1,200",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",52127 PROPERTY CLEAN UP REVENUE,"10,000",0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",55075 SUMMER FOOD INSPECTIONS,200,0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,"Licenses, Permits and Fees",55150 TANNING PARLOUR INSPECTION,300,200,200,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Fines and Forfeitures,52555 HOUSING CODE VIOL FINES,"60,000",0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,52085 PLAN REVIEW,"5,000","5,000","5,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53105 HEALTH FOOD ESTABLISHMENT LICENSE FEE,"200,000","230,000","230,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53185 TEMPORARY FOOD LICENSE,"10,000","11,000","11,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53190 FOOD DELIVERY VEHICLE,"5,000","6,500","6,500",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53200 BEV SNACK VENDING MACHINE,"31,000","31,000","31,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53210 TOBACCO LICENSE,"17,000","17,000","17,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53211 BEEKEEPER LICENSE FEE,0,150,150,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53230 FUNERAL DIRECTOR LICENSE,"6,000","6,000","6,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53235 TEMP FUNERAL DIRECTOR LICENSE,"4,000","4,000","4,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Charges for Services,53725 BACKGR CHKS DAYCARE PROV,400,400,400,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55025 LOCAL HEALTH PROTECTION GRANT,"82,070","82,070","82,070",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55086 IL HIV SURVEILLANCE GRANT,"4,000","34,150","34,150",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55130 IL STATE CHILDHOOD LEAD GRANT,"12,600","24,900","24,900",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,"55146 STATE, COUNTY AND OTHER GRANTS","7,000",0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55173 CRI GRANT-REVENUE HHS,"14,100","43,463","43,463",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55174 PHEP GRANT-REVENUE HHS,"30,000","63,734","63,734",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55231 LEAD PAINT HAZARD GRANT (TORRENS),"39,333","39,600","39,600",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55251 GRANTS AND AID,"12,700","7,000","7,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55254 BEACH GRANT - REVENUE HHS,0,"14,500","14,500",100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55256 IL VACANT PROPERTY GRANT,"37,500",0,0,100,24,2435
Revenues,GENERAL FUND,HEALTH,FOOD AND ENVIRONMENTAL HEALTH,Intergovernmental Revenue,55257 VECTOR GRANT IDPH - REVENUE HHS,0,"26,000","26,000",100,24,2435
Revenues,GENERAL FUND,HEALTH,VITAL RECORDS,Charges for Services,53215 BIRTH CERTIFICATE,"100,000",0,0,100,24,2440
Revenues,GENERAL FUND,HEALTH,VITAL RECORDS,Charges for Services,53220 DEATH CERTIFICATE,"30,000",0,0,100,24,2440
Revenues,GENERAL FUND,HEALTH,VITAL RECORDS,Charges for Services,53230 FUNERAL DIRECTOR LICENSE,300,0,0,100,24,2440
Revenues,GENERAL FUND,HEALTH,COMMUNITY HEALTH,Intergovernmental Revenue,55085 IL TOBACCO FREE COMMUNITY,"26,000",0,0,100,24,2455
Revenues,GENERAL FUND,HEALTH,COMMUNITY HEALTH,Other Revenue,56002 WE'RE OUT WALKING,"5,000",0,0,100,24,2455
